iter	CrossEntropy
0	0.6913863167
1	0.6896937967
2	0.6879061153
3	0.686276851
4	0.6845497044
5	0.6828529517
6	0.6811518482
7	0.6795346876
8	0.677968444
9	0.6763470435
10	0.6748406115
11	0.6733264075
12	0.6717657089
13	0.6702580743
14	0.6688303613
15	0.6673495013
16	0.6658909475
17	0.6644740791
18	0.6630058986
19	0.6616199908
20	0.6602457798
21	0.6588666156
22	0.6576085662
23	0.6562982143
24	0.6549666988
25	0.6537252339
26	0.6524733268
27	0.6511668824
28	0.6498945627
29	0.648637758
30	0.6474351381
31	0.6462539854
32	0.6450517499
33	0.6438432265
34	0.6426330937
35	0.6414654494
36	0.6403943218
37	0.6392914015
38	0.6381852046
39	0.6369542853
40	0.6359460619
41	0.6348805489
42	0.6338420695
43	0.6328185845
44	0.6318223114
45	0.6307591858
46	0.6297151379
47	0.6287263345
48	0.6277882961
49	0.6267150965
50	0.6258131386
51	0.6247313394
52	0.6238142361
53	0.6227617783
54	0.6217624229
55	0.6208704055
56	0.6199154731
57	0.6189251467
58	0.6180158068
59	0.6171259381
60	0.6162563634
61	0.6152629235
62	0.6143557577
63	0.6134784747
64	0.6125845651
65	0.611754864
66	0.6109152287
67	0.6100357277
68	0.6091680889
69	0.6083262872
70	0.6074857371
71	0.6066387597
72	0.6058606716
73	0.604974972
74	0.604193219
75	0.6033591575
76	0.6025065204
77	0.601684594
78	0.6008136101
79	0.5999686061
80	0.5992089437
81	0.5984849051
82	0.5976530797
83	0.5968825669
84	0.5961554598
85	0.5954088523
86	0.5946664957
87	0.5939439912
88	0.5931860117
89	0.5924801652
90	0.5918064839
91	0.5910606092
92	0.5903403874
93	0.589618165
94	0.5889619026
95	0.5883399157
96	0.5876907882
97	0.5870262497
98	0.5863654032
99	0.5857202043
100	0.5850684382
101	0.5844101547
102	0.5837689723
103	0.5831247228
104	0.5824983132
105	0.5818203239
106	0.5812245015
107	0.5805676689
108	0.5800045426
109	0.57941186
110	0.5787847665
111	0.5781501509
112	0.5775962097
113	0.5769678946
114	0.5764054288
115	0.5758921288
116	0.5753732595
117	0.5747899109
118	0.5742011196
119	0.5736686081
120	0.5730700004
121	0.5725061738
122	0.5719596963
123	0.5714307342
124	0.5709115259
125	0.5703775365
126	0.5697623839
127	0.5691886429
128	0.5686651051
129	0.5681732968
130	0.567696066
131	0.5671820005
132	0.5666545076
133	0.5661919288
134	0.5656886484
135	0.5652329182
136	0.5647606359
137	0.5642105848
138	0.5636991891
139	0.5631850329
140	0.5627552435
141	0.5622927678
142	0.5618135678
143	0.5613503669
144	0.5608869145
145	0.5604051366
146	0.5599378874
147	0.5595001235
148	0.5590878222
149	0.5586243871
150	0.5581375852
151	0.5576753692
152	0.5572513217
153	0.5568738831
154	0.5564537808
155	0.5560233536
156	0.5556343662
157	0.555258197
158	0.5548620707
159	0.5544550155
160	0.5540395736
161	0.5536332071
162	0.5531658307
163	0.5527771041
164	0.5523963393
165	0.5519817787
166	0.5515576028
167	0.5511541325
168	0.5507394027
169	0.5503163197
170	0.549968712
171	0.5496378587
172	0.5492400701
173	0.5488176969
174	0.5484797117
175	0.5481247987
176	0.5478189639
177	0.5474477872
178	0.547099231
179	0.5467632016
180	0.5463896864
181	0.5460406988
182	0.5457005422
183	0.5453530091
184	0.5449759809
185	0.5446497259
186	0.5443206267
187	0.5439380716
188	0.5436374876
189	0.5433185945
190	0.5429554003
191	0.5425708804
192	0.5421855509
193	0.5418166451
194	0.5414618559
195	0.5411148865
196	0.5407717838
197	0.5404500537
198	0.5401359835
199	0.5398370458
200	0.5394962352
201	0.5391572126
202	0.538841388
203	0.5385173741
204	0.5381812392
205	0.5378959448
206	0.537573206
207	0.5372593423
208	0.5369073719
209	0.5365887879
210	0.5362965442
211	0.5359646552
212	0.5356950528
213	0.535425972
214	0.5351623652
215	0.5348607483
216	0.5345534153
217	0.5342737866
218	0.5339731002
219	0.5336947531
220	0.5333807697
221	0.5330986028
222	0.5328252803
223	0.5325523665
224	0.5322284866
225	0.5319188473
226	0.531664119
227	0.5314237511
228	0.5311649166
229	0.5308812309
230	0.5305890624
231	0.5303287384
232	0.530041573
233	0.5298050131
234	0.5295551179
235	0.5292745327
236	0.5290506626
237	0.5287909722
238	0.5285393374
239	0.5282876884
240	0.5280374701
241	0.5277638912
242	0.5274848106
243	0.5272340927
244	0.5269672177
245	0.5267098964
246	0.5264770251
247	0.5262505536
248	0.526012794
249	0.5257624345
250	0.5255332311
251	0.5252885471
252	0.5250585679
253	0.5247906612
254	0.5245564453
255	0.5242855331
256	0.5240584251
257	0.5238274655
