iter	Passed	Remaining
0	177	88392
1	216	53976
2	255	42276
3	291	36093
4	326	32334
5	361	29757
6	396	27932
7	431	26530
8	467	25504
9	502	24642
10	535	23823
11	571	23239
12	604	22661
13	645	22420
14	682	22052
15	716	21662
16	765	21760
17	801	21474
18	836	21189
19	878	21095
20	917	20933
21	952	20696
22	990	20533
23	1023	20300
24	1057	20083
25	1094	19961
26	1136	19905
27	1171	19745
28	1205	19577
29	1241	19443
30	1274	19278
31	1309	19144
32	1350	19115
33	1386	18996
34	1421	18882
35	1456	18771
36	1490	18645
37	1527	18572
38	1568	18535
39	1602	18428
40	1645	18418
41	1681	18333
42	1715	18235
43	1751	18150
44	1794	18143
45	1828	18042
46	1862	17953
47	1896	17855
48	1931	17777
49	1965	17685
50	2008	17685
51	2043	17601
52	2078	17533
53	2111	17442
54	2144	17354
55	2185	17324
56	2223	17282
57	2257	17202
58	2290	17119
59	2325	17051
60	2360	16986
61	2396	16928
62	2439	16921
63	2474	16856
64	2507	16783
65	2542	16718
66	2575	16646
67	2608	16571
68	2648	16541
69	2684	16489
70	2721	16441
71	2769	16464
72	2805	16407
73	2840	16354
74	2879	16317
75	2914	16260
76	2946	16187
77	2979	16121
78	3012	16055
79	3047	16001
80	3088	15978
81	3125	15930
82	3158	15867
83	3192	15808
84	3225	15748
85	3258	15685
86	3294	15641
87	3335	15616
88	3368	15554
89	3401	15494
90	3434	15434
91	3466	15373
92	3502	15326
93	3542	15298
94	3577	15251
95	3611	15199
96	3649	15160
97	3683	15109
98	3718	15060
99	3762	15048
100	3796	14998
101	3831	14950
102	3864	14895
103	3899	14848
104	3937	14811
105	3978	14788
106	4011	14734
107	4043	14676
108	4078	14631
109	4112	14579
110	4147	14536
111	4188	14509
112	4224	14469
113	4258	14419
114	4293	14375
115	4330	14334
116	4369	14303
117	4407	14269
118	4442	14224
119	4480	14188
120	4513	14138
121	4545	14084
122	4591	14072
123	4630	14042
124	4665	13995
125	4701	13955
126	4746	13941
127	4783	13903
128	4823	13873
129	4862	13839
130	4895	13790
131	4929	13741
132	4961	13691
133	4995	13645
134	5029	13597
135	5066	13560
136	5105	13528
137	5138	13479
138	5172	13433
139	5204	13383
140	5237	13334
